,wav,sigma_wav,separation,intensity,sigma_intensity,label,number_of_lines,clean,subline_wav,subline_I,err_important,transmission
49,1526.5317410244847,0.0007000150217663758,0.542657334661726,0.04372055573613725,0.016298688787536035,CH4|CO2|CO2,3,False,[1526.53586453 1526.53417878 1526.52487695],[0.4589 0.2726 0.2685],0.009585489097492992,0.9461533604355904
50,1527.3296012493981,0.0007408577242260724,0.2626875336225112,0.0005866752241968409,0.00025297063096289807,CO2|CH4|H20|CH4|H20|CH4|H20|CH4|CO2|CH4,10,False,"[1527.40435264 1527.37558797 1527.34846853 1527.33802958 1527.32912758
 1527.30271239 1527.28922511 1527.22538884 1527.21651288 1527.16831672]",[0.0166 0.0104 0.2746 0.2766 0.0404 0.0084 0.0317 0.0594 0.0367 0.2454],0.053152043538072416,0.941779660585167
51,1527.5922887830206,0.0007234141612997248,0.2356472981891784,0.0004938582659316524,0.00022013798344984505,CO2|H20|CO2|CH4|CO2|CO2|CH4|CH4|CO2|CO2|H20|CH4,12,False,"[1527.72153783 1527.69495269 1527.6615406  1527.65710135 1527.65596296
 1527.65233681 1527.63346097 1527.60702102 1527.58679262 1527.57114862
 1527.56224087 1527.55661728]","[0.0779 0.0275 0.0894 0.0674 0.0167 0.034  0.039  0.0373 0.0186 0.0386
 0.5431 0.0106]",0.09743340522915106,0.9510358102524353
52,1527.8279360812098,0.000833652397140836,0.2306648636827049,0.0005606343074883494,0.0002397159185739876,CO2|H20|CH4|CO2|H20|CH4|CO2|CH4|CH4|H20|CO2|CO2,12,False,"[1527.93439557 1527.89009673 1527.8462741  1527.83079238 1527.82467733
 1527.80477112 1527.78667484 1527.78542095 1527.76933897 1527.76285866
 1527.75707839 1527.72153783]","[0.0642 0.2932 0.0088 0.1    0.1147 0.1917 0.0343 0.0615 0.0335 0.0168
 0.0167 0.0646]",0.08026610122096975,0.9504486541946511
53,1528.0586009448925,0.0007345435458941291,0.2306648636827049,0.0006284569325205338,0.0002655283128656949,CO2|CH4|CH4|CH4|CH4|H20|CH4|CO2|CH4|H20|H20|CO2|CO2|CO2|H20,15,False,"[1528.15432772 1528.1255091  1528.11381    1528.09723075 1528.0802082
 1528.0799406  1528.06348957 1528.05775816 1528.05043716 1528.0279518
 1528.0261306  1527.97911186 1527.97158313 1527.93439557 1527.89009673]","[0.0474 0.0122 0.0743 0.0166 0.0699 0.0612 0.045  0.1721 0.0583 0.1209
 0.0096 0.0246 0.0205 0.048  0.2193]",0.06080460935607853,0.9508061548302863
54,1528.4041355149698,0.0007696852845954851,0.3455345700772341,0.0008886864932898032,0.0003478898646202041,(2-0)pP1f(9.5)|(2-0)pP1e(9.5)|H20|CH4|CH4,5,False,[1528.52256392 1528.26955031 1528.47967777 1528.43393022 1528.37520266],[0.0565 0.0577 0.1935 0.1964 0.4959],0.058302630302977256,0.9517888189722018
55,1528.7787892444035,0.0007000150217663758,0.3746537294337031,0.05707264261806414,0.022807184738735487,(3-1)pP2f(2.5)|(3-1)pP2e(2.5),2,True,[1528.78344124 1528.77478465],[0.5014 0.4986],0.0026751069097652614,0.9378982986712868
56,1529.3703019378086,0.0007000150217663758,0.5915126934050932,0.015970606802584542,0.005972889930833189,CH4|CH4,2,True,[1529.37364732 1529.36384704],[0.6296 0.3704],0.018475470247141267,0.9518674857119322
57,1530.5778278503835,0.0007325532120449069,1.2075259125749653,0.0012292304673229997,0.0005590205094015255,CH4|H20|H20|H20|H20|CO2|CH4|H20|H20|CO2|H20|CH4|CO2|CH4|CO2|CH4|CO2|CO2,18,False,"[1530.70130672 1530.67171813 1530.64291484 1530.64202034 1530.62539133
 1530.6189526  1530.6066535  1530.59589821 1530.58949675 1530.56199647
 1530.56000688 1530.54803997 1530.53175455 1530.52599663 1530.51412863
 1530.51301924 1530.51252264 1530.48280525]","[0.0576 0.0536 0.0195 0.0231 0.0349 0.0327 0.168  0.0096 0.0118 0.2096
 0.0758 0.071  0.0273 0.0465 0.0217 0.0217 0.0159 0.0995]",0.10214606131961801,0.9505051773134352
58,1531.8308547393722,0.000732553212014938,0.4605504002965972,0.004968161422213812,0.001935103661466974,CO2|CH4|H20|CH4|CH4|CH4|CO2|CO2|H20|H20,10,False,"[1531.94393249 1531.91477106 1531.90443834 1531.89235981 1531.86560796
 1531.8256462  1531.77503924 1531.76776869 1531.75211918 1531.73444099]",[0.0388 0.0449 0.0569 0.0682 0.0127 0.6852 0.0127 0.0213 0.0357 0.0236],0.05997045955376607,0.9510096527882229
59,1532.2914051396688,0.0007720608143933009,0.4605504002965972,0.0012908448057978126,0.000541478422169182,CH4|CO2|H20|CO2|CO2|CH4|CH4|CO2|CO2|CH4|CH4|CO2,12,False,"[1532.47641645 1532.30820949 1532.30492586 1532.29981062 1532.29942954
 1532.29497058 1532.28452237 1532.25824142 1532.22115106 1532.16267627
 1532.14840347 1532.12307741]","[0.2038 0.2197 0.0122 0.1014 0.0119 0.0675 0.0435 0.064  0.0102 0.0573
 0.1025 0.106 ]",0.06836664096857938,0.9503822792009002
60,1532.7563323580282,0.0007272667142801233,0.46492721835943485,0.010414137711191897,0.005206524391039272,H20|CO2|CO2|CO2|CH4|CH4|CO2|CO2|CH4|CH4,10,False,"[1532.78850756 1532.78801864 1532.78079674 1532.7604574  1532.74827821
 1532.74294527 1532.73352886 1532.72765453 1532.72288251 1532.69018179]",[0.0595 0.0934 0.1506 0.0989 0.1052 0.1763 0.1078 0.0752 0.1126 0.0205],0.034623604050615,0.9494846471990278
